Nombre del Producto,Identificador (No Cambiar),Es un Servicio,Se Vende,Descripción,Categoría,Marca,Unidad de Venta,Código de Barras,SKU,Variantes de Tamaño,Variantes de Color,Variantes de Material,Variantes de Estilo,Usa Lotes,Lote,Fabricación del Lote,Caducidad del Lote,Utiliza Stock,Stock Total ,Stock Mínimo ,Stock Apartado ,Ubicación ,Precio Público,Precio PERSONAL,Precio DESCUENTO PROMOCION,Costo,Impuestos,IVA,IEPS,Clave SAT,Receta Médica,Catálogo en Línea
WILVIT CAPSULA (30),wilvit-capsula,No,Si,SON'S,MEDICAMENTO,SON´S,Unidad,7502001169197,,,,,,Si,M25040078,,01/06/2027,Si,1.00,,0.00,,$ 225.00,$ 88.00,,$ 87.09,No,,,,No,Si
WILVIT CAPSULA (30),wilvit-capsula,No,Si,SON'S,MEDICAMENTO,SON´S,Unidad,7502001169197,,,,,,Si,M25040079,,01/06/2027,Si,1.00,,0.00,,$ 225.00,$ 88.00,,$ 87.09,No,,,,No,Si
"VITAMINAS, MINERALES, QUERCETINA Y OMEGA CAPSULA (DIBENEL MAX) ",vitaminas-minerales-quercetina-y-omega-capsula-dibenel-max,No,Si,,MEDICAMENTO,BIORESEARCH,Unidad,7501590282829,,,,,,Si,25S34837,,01/09/2027,Si,0.00,,0.00,,$ 195.00,$ 70.00,,$ 69.70,No,,,,No,Si
"VITAMINAS, MINERALES, QUERCETINA Y OMEGA CAPSULA (DIBENEL MAX) ",vitaminas-minerales-quercetina-y-omega-capsula-dibenel-max,No,Si,,MEDICAMENTO,BIORESEARCH,Unidad,7501590282829,,,,,,Si,25N36034,,01/11/2027,Si,2.00,,0.00,,$ 195.00,$ 70.00,,$ 69.70,No,,,,No,Si
VITAMINA E 400UI CAPSULA ,vitamina-e-400ui-capsula,No,Si,PROGELA,MEDICAMENTO,PROGELA,Unidad,7503008344747,,,,,,Si,T0067,,01/01/2027,Si,1.00,,0.00,,$ 115.00,$ 46.00,,$ 45.39,No,,,,No,Si
VITAMINA ADC SOLUCION,vitamina-adc-solucion,No,Si,NATUREX,MEDICAMENTO,NATUREX,Unidad,7502009744105,,,,,,Si,255714,,01/10/2027,Si,1.00,,0.00,,$ 85.00,$ 26.00,,$ 25.39,No,,,,No,Si
VILDAGLIPTINA/METFORMINA 50MG/850MG COMPRIMIDOS,vildagliptinametformina-50mg1000mg-comprimidos,No,Si,ULTRA,MEDICAMENTO,ULTRA,Unidad,7502216790490,,,,,,Si,4GM013A,,01/07/2026,Si,0.00,,0.00,,$ 480.00,$ 180.00,,$ 179.91,No,,,,No,Si
VENDA ENYESADA 15CMx2.75M C/U,venda-enyesada-15cmx2-75m-c-u,No,Si,,MATERIAL DE CURACION,,Unidad,7501048640799,,,,,,No,,,,Si,1.00,,,,$ 105.00,$ 42.00,,$ 41.54,No,,,,No,Si
VENDA ELASTICA 7.5CM C/U,venda-elastica-7-5cm-c-u,No,Si,,MATERIAL DE CURACION,,Unidad,,,,,,,No,,,,Si,0.00,0.00,,,$ 50.00,$ 8.00,,$ 7.64,No,,,,No,Si
VENDA ELASTICA 5CM C/U,venda-elastica-5cm-c-u,No,Si,,MATERIAL DE CURACION,,Unidad,231,,,,,,No,,,,Si,2.00,0.00,,,$ 45.00,$ 6.00,,$ 5.90,No,,,,No,Si
VENDA ELASTICA 10CM x 5M C/U,venda-elastica-10cmx5m-c-u,No,Si,,MATERIAL DE CURACION,,Unidad,230,,,,,,No,,,,Si,1.00,,,,$ 55.00,$ 11.00,,$ 10.31,No,,,,No,Si
VENDA DE GUATA ,venda-de-guata,No,Si,PROTEC,MATERIAL DE CURACION,,Unidad,06,,,,,,No,,,,Si,0.00,0.00,,,$ 85.00,$ 12.00,,$ 11.34,No,,,,No,Si
VASO MUESTRA,vaso-muestra,No,Si,,MATERIAL DE CURACION,,Unidad,102,,,,,,No,,,,Si,47.00,0.00,,,$ 12.00,$ 3.00,,$ 2.29,No,,,,No,Si
