Id_examen,Codigo,Abreviatura,Descripcion,Titulo,Tiempo_proceso,Metodo,Permite_venta_directa,Costo,Comision,Sexo,Indicaciones,Notas,Notas_internas,Titulo_alineacion,Titulo_color,
289,45,CH,CITOMETRIA HEMATICA COMPLETA,BIOMETRIA HEMATICA COMPLETA,,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",Si,0.00,0.00,Ambos,NO REQUIERE AYUNO,"VALORES DE REFERENCIA DE ACUERDO A EDAD, SEXO Y NIVEL DEL MAR.",,Alineado a la izquierda,#cc1212,
290,ATD3,ATD3,ANTIDOPING 3 DROGAS,ANTIDOPING 3 DROGAS,,Inmunocromatografia,Si,0.00,0.00,Ambos,,,,,,
291,ATD5,ATD5,ANTIDOPING (5 DROGAS),ANTIDOPING (5 DROGAS),,Inmunocromatografia,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
292,BILIS,BILIS,BILIRRUBINAS,BILIRRUBINAS,,Colorimétrico Automatizado,Si,0.00,0.00,Ambos,,,,,,
293,69,ELE,"Electrolitos séricos 3 (Na, K, Cl",NA K CL,,Ion Selectivo,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
294,PERFCAR,PERFCAD,PERFIL CARDIACO,PERFIL CARDIACO,,,Si,0.00,0.00,Ambos,,,,,,
295,PERLIP,PERLIP,PERFIL DE LIPIDOS,PERFIL DE LIPIDOS,,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
296,PERFHEP,PERFHEP,PERFIL HEPATICO,PERFIL HEPATICO,,Colorimétrico Automatizado,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
297,QS3,"QS3(GLU,UR,CR)",QUIMICA SANGUINEA 3,QUIMICA SANGUINEA,,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
298,QSCOR,"QS (GLU,COL,TRIG)",QUIMICA SANGUINEA CORONARIA,CORONARIA,,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
299,QSC,"QSC6(GLU,UR,CRET,COL,TRIG,AU)",QUIMICA SANGUINEA 6,QUIMICA SANGUINEA COMPLETA,,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
300,83,EGO,Examen general de orina,Examen general de orina,,Fotometria+Potenciometria+Microscopia,Si,0.00,0.00,Ambos,"PRIMERA ORINA DE LA MAÑANA O PASADAS 2 HORAS DESPUÉS DE LA ULTIMA MICCIÓN, RECOLECTAR POR CHORRO MEDIO",,,Alineado a la izquierda,,
301,DENGUE,DENGUE,DENGUE IgG e IgM NS1,DENGUE IgG e IgM,,Inmunocromatografia,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
302,PERFREU,PERFREU,PERFIL REUMATICO,PERFIL REUMATICO,,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
303,RF,RF,REACCIONES FEBRILES,REACCIONES FEBRILES,,Aglutinación en placa,Si,0.00,0.00,Ambos,,,,,,
304,PRENUPCIAL INDIVIDUAL 2,PRENU2,PRENUPCIAL,PRENUPCIAL,,Inmunocromatografia,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
305,PRENUPCIAL 1 INDIVIDUAL,PREN,PRENUPCIAL,PRENUPCIAL,,,Si,0.00,0.00,Ambos,,,,,,
306,QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,QUIMICA SANGUINEA 12 ELEMENTOS,,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
