Id_parametro,Codigo,Abreviatura,Descripcion,Clave_hoja_trabajo,Departamento,Tipo_muestra,Metodo,Imprimir_metodo_resultado,Formula,Imprime_en_negritas,Es_antibiograma,Permite_venta_directa,Costo,Comision,Unidades,Sexo,Tipo_resultado,Resultado_default,Tipo_valor_resultado,Resultado_opciones,Decimales,Tiempo_proceso,Indicaciones,Notas,Imprimir_nota,Tipo_referencia,Valor de normalidad (texto libre),Es_Producto
2037,leuct,leuct,LEUCOCITOS TOTALES,,HEMATOLOGÍA,SANGRE TOTAL,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",No imprimir,,No,No,No,0.00,0.00,10³/µL,Ambos,Numerico,,Abierto,,1,,,,Imprimir siempre,Rango numerico,,No
2038,RBC,RBC,GLOBULOS ROJOS,,HEMATOLOGÍA,SANGRE TOTAL,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",No imprimir,,No,No,No,0.00,0.00,MILLON/MM3,Ambos,Numerico,,Abierto,,2,,NO REQUIERE AYUNO,,Imprimir siempre,Rango numerico,,No
2039,HGB,HGB,HEMOGLOBINA,,HEMATOLOGÍA,SANGRE TOTAL,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",No imprimir,,No,No,No,0.00,0.00,g/dl,Ambos,Numerico,,Abierto,,1,,NO REQUIERE AYUNO,,Imprimir siempre,Rango numerico,,No
2040,HCT,HCT,HEMATOCRITO,,HEMATOLOGÍA,SANGRE TOTAL,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",No imprimir,,No,No,No,0.00,0.00,%,Ambos,Numerico,,Abierto,,1,,NO REQUIERE AYUNO,,Imprimir siempre,Rango numerico,,No
2041,VCM,VCM,Volumen globular medio,,HEMATOLOGÍA,SANGRE TOTAL,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",No imprimir,,No,No,No,0.00,0.00,fl,Ambos,Numerico,,Abierto,,1,,NO REQUIERE AYUNO,,Imprimir siempre,Rango numerico,,No
2042,HCM,HCM,HCM,,HEMATOLOGÍA,SANGRE TOTAL,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",No imprimir,,No,No,No,0.00,0.00,pg,Ambos,Numerico,,Abierto,,1,,,,Imprimir siempre,Rango numerico,,No
2043,MCHC,CMHC,CMHC,,HEMATOLOGÍA,SANGRE TOTAL,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",No imprimir,,No,No,No,0.00,0.00,gr/dl,Ambos,Numerico,,Abierto,,1,,,,Imprimir siempre,Rango numerico,,No
2046,PLT,PLT,PLAQUETAS,,HEMATOLOGÍA,SANGRE TOTAL,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",No imprimir,,No,No,No,0.00,0.00,10³/μL,Ambos,Numerico,,Abierto,,1,,,,Imprimir siempre,Rango numerico,,No
2047,VPM,VPM,VOLUMEN PLAQUETARIO MEDIO,,HEMATOLOGÍA,SANGRE TOTAL,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",No imprimir,,No,No,No,0.00,0.00,fl,Ambos,Numerico,,Abierto,,2,,,,Imprimir siempre,Rango numerico,,No
2051,LYM,LIN,LINFOCITOS,,HEMATOLOGÍA,SANGRE TOTAL,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",No imprimir,,No,No,No,0.00,0.00,%,Ambos,Numerico,,Abierto,,0,,,,Imprimir siempre,Rango numerico,,No
2052,PIE,PIE,PRUEBA INMUNOLOGICA DE EMBARAZO,PIE,INMUNOLOGÍA,SUERO,Inmunocromatografia,No imprimir,,No,No,Si,0.00,0.00,,Femenino,Texto,,Abierto,,0,,NO SE REQUIERE AYUNO,Método: Inmunocromatografia\nSensibilidad 10mIU/ml,Imprimir siempre,Texto libre,NEGATIVO,No
2053,MON%,MON,MONOCITOS,,HEMATOLOGÍA,SANGRE TOTAL,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",No imprimir,,No,No,No,0.00,0.00,%,Ambos,Numerico,,Abierto,,0,,,,Imprimir siempre,Rango numerico,,No
