
Tarifa: Publico general 2026

Tipo,Código,Abreviatura,Descripción,Importe
Paquetes,CHEBA,CHEBA,CHEQUEO BASICO GENERAL,555
Paquetes,CPB,CPB,CHEQUEO PRENATAL BASICO,528
Paquetes,CONTDIA,CONTDIA,CONTROL DIABETICO,925
Paquetes,PFH+QSC,PFH+QSC,CUIDA TU HIGADO,678
Paquetes,MAM RESP,MAM RESP,MAMÁ RESPONSABLE,1455
Paquetes,deng,deng,paquete dengue,650
Paquetes,PAQJUN,PAQUETJUN,PAQUETE JUNIO,1120
Paquetes,FWEQF,FWEQF,PAQUETE PROSTATA,460
Paquetes,PAQUETE COVID,PAQUETE COVID,PAQUETE SARS-COV-2 (COVID 19),785
Paquetes,PAQCOAG,PAQCOAG,PERFIL DE COAGULACION,865
Paquetes,hepesp,hepesp,PERFIL HEPATICO ESPECIAL,678
Paquetes,PRENAQC6,PRENAQC6,PERFIL PRENATAL COMPLETO,964
Paquetes,PREOP,PREOP,PERFIL PREOPERATORIO,785
Paquetes,PREOP2,PREOP2,PERFIL PREOPERATORIO QSC,925
Paquetes,TOXEMICO,TOXEMICO,PERFIL TOXEMICO,1356
Paquetes,SMAC 32,SMAC 32,QS32+EGO+CITOMETRIA HEMATICA,1480
Paquetes,Paquete febril,Paquete febril,Qsc bh ego rf,615
Perfiles,339,AC FOSFO,"AC. ANTI FOSFOLÍPIDOS IgG, IgM",805
Perfiles,HP2IgGIgM,"Ac. ANTI HERPES II IgG, IgM","Ac. ANTI HERPES II IgG, IgM",1065
Perfiles,582,ANTIPLAQUETAS,AC. ANTI PLAQUETAS (AC. AUTOLOGAS Y ALOGENICAS),2320
Perfiles,553,ACSARAM,Acs. Anti Sarampión IgG e IgM,1138
Perfiles,571,AC ANT CITO  P y C ANCA,ANTICUERPOS ANTI CITOPLASMA DE NEUTROFILOS (P y C ANCA),875
Perfiles,GFH,ANA2,ANTICUERPOS ANTI NUCLEARES (ANA),685
Perfiles,ANTIRO,ANTIRO,ANTICUERPOS ANTI TIROIDEOS,930
Perfiles,ANTITB,ANTI TUBERCULOSIS,ANTICUERPOS ANTI TUBERCULOSIS,896
Perfiles,92126,AC ANTIPLAQUETARIOS,ANTICUERPOS ANTIPLAQUETARIOS,2835
Perfiles,1602,HELY,ANTICUERPOS DE HELICOBACTER PYLORI EN SANGRE,1065
Perfiles,ATD5,ATD5,ANTIDOPING (5 DROGAS),520
Perfiles,ATD3,ATD3,ANTIDOPING 3 DROGAS,435
Perfiles,1735,PSATL,ANTÍGENO PROSTÁTICO ESPECÍFICO TOTAL Y LIBRE,775
Perfiles,BILIS,BILIS,BILIRRUBINAS,265
Perfiles,900,VET-BH EQUINOS,BIOMETRIA EQUINOS,168
Perfiles,2072,CVVIH1,CARGA VIRAL VIH,3020
Perfiles,CHEMET,CHEMET,CHEQUEO METABOLICO,545
Perfiles,3629-ORTH,CINH,CINETICA DE HIERRO,1110
Perfiles,22941,cis,Cistatina C y Tasa de filtrado,1175
Perfiles,001,CH-CAN,CITOMETRIA CANINO,170
Perfiles,145,CH- BOV,CITOMETRIA HEMATICA BOVINO,170
Perfiles,45,CH,CITOMETRIA HEMATICA COMPLETA,170
Perfiles,17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,1165
Perfiles,COPROL,COPROL,COPROLOGICO,415
Perfiles,CPS123,CPS123,"COPROPARASITOSCOPICO 1, 2 Y 3 MUESTRAS",405
Perfiles,0310,CULTIOTICO,CULTIVO OTICO DERECHO,495
Perfiles,0310,CULTOTICO,CULTIVO OTICO IZQUIERDO,495
Perfiles,58,cur120,Curva de tolerancia a la glucosa (120 min),428
Perfiles,DENGUE,DENGUE,DENGUE IgG e IgM NS1,618
Perfiles,62,DEPUCREATI24HRS,DEPURACION CREATINA EN ORINA 24 HRS,248
Perfiles,27,DNANDC,DNA NATIVO DE DOBLE CADENA,618
Perfiles,ELECTROFORESIS,ELEHEM,ELECTROFORESIS DE HEMOGLOBINA,3248
Perfiles,68,ELECTROPROTEI,ELECTROFORESIS DE PROTEINAS,690
Perfiles,69,ELE,"Electrolitos séricos 3 (Na, K, Cl",505
Perfiles,06,ELECTRO,Electrolitos sericos 6,988
Perfiles,14685464,Espermatobioscopía,Espermatobioscopía,785
Perfiles,83,EGO,Examen general de orina,105
Perfiles,3021,ANT HEP A,"HEPATITIS ""A"" ANTICUERPOS IgG- IgM",740
Perfiles,CWE,HEPATITISA,HEPATITIS A TOTALES,740
Perfiles,361346,HEPATITIS B,HEPATITIS B,740
Perfiles,123456,Influenza A y B,Influenza A y B,495
Perfiles,998877,MARCAHEPAT,MARCADORES DE HEPATITIS A.B y C,3865
Perfiles,0305,METP,METALES PESADOS,3495
Perfiles,1722,MICROAL,MICROALBUMINA 24 HRS.,528
Perfiles,155,PANHEP,PANEL DE HEPATITIS,1848
Perfiles,2034,PCRHEPATITISB,PCR CARGA VIRAL DE HEPATITIS B (HBV),4178
Perfiles,170,PCR MYCOBACT,PCR DETECCION  MYCOBACTERIUM TUBERCULOSIS,2050
Perfiles,4425,PCRITS,PCR INFECCIOSO DE TRANSMISION SEXUAL (STI7),3170
Perfiles,3334,PCR VIRAL RESPIRATORIO,PCR Panel viral respiratorio (16 virus),3730
Perfiles,4729,PCRSARS-CoV-2,PCR SARS-CoV-2 (COVID-19),1885
Perfiles,PCR22,PCR22,PCR VARIANTE,3730
Perfiles,3235,PCRVPH,PCR VPH ALTO RIESGO,1995
Perfiles,1678,PERFILINM,PERFIL  INMUNOGLOBULINAS,1020
Perfiles,2421,2421,PERFIL ANDROGENOS,1110
Perfiles,PERFCAR,PERFCAD,PERFIL CARDIACO,908
Perfiles,506,PFantiANA,Perfil de antinucleares ANA,3138
Perfiles,11,pcs,Perfil de Catecolaminas en plasma,4995
Perfiles,PERLIP,PERLIP,PERFIL DE LIPIDOS,370
Perfiles,198,PERFTORCH,PERFIL DE TORCH IgG,1795
Perfiles,197,PERFITORCH,PERFIL DE TORCH IgG-IgM,3138
Perfiles,199,PERTORCH,PERFIL DE TORCH IgM,1795
Perfiles,2471,PGINE6,PERFIL GINECOLÓGICO,1020
Perfiles,HELICO,HELICO,PERFIL HELICOBACTER PYLORI,2330
Perfiles,PERFHEP,PERFHEP,PERFIL HEPATICO,605
Perfiles,1341,PERFHFEM,PERFIL HORMONAL FEMENINO,2095
Perfiles,1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,2455
Perfiles,2954-ORT,PHORMMASC,PERFIL HORMONAL MASCULINO,975
Perfiles,4446,PERFILPROS,PERFIL PROSTATICO II,1065
Perfiles,PERFREU,PERFREU,PERFIL REUMATICO,555
Perfiles,PTIR  419,PTIR,PERFIL TIROIDEO,865
Perfiles,1688 PTIR II,PTIR II,PERFIL TIROIDEO  II,1155
Perfiles,PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,3195
Perfiles,654465,PERES,PERFIL VIRAL RESPIRATORIO,805
Perfiles,PRENUPCIAL INDIVIDUAL 2,PRENU2,PRENUPCIAL,435
Perfiles,PRENUPCIAL 1 INDIVIDUAL,PREN,PRENUPCIAL,248
Perfiles,230,PROTEINASTOTALESORINA24HRS,PROTEINAS TOTALES ORINA 24 HRS,428
Perfiles,QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,560
Perfiles,195,QS19,QUIMICA SANGUINEA 19 ELEMENTOS,785
Perfiles,QS3,"QS3(GLU,UR,CR)",QUIMICA SANGUINEA 3,130
Perfiles,QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,1235
Perfiles,QS4,"QS4(GLU,URE,CRE,AU)",QUIMICA SANGUINEA 4,205
Perfiles,QSC,"QSC6(GLU,UR,CRET,COL,TRIG,AU)",QUIMICA SANGUINEA 6,350
Perfiles,QSCAN,QSC,QUIMICA SANGUINEA CANINO,338
Perfiles,QSCOR,"QS (GLU,COL,TRIG)",QUIMICA SANGUINEA CORONARIA,225
Perfiles,RF,RF,REACCIONES FEBRILES,148
Perfiles,3513,HOMA,Resistencia a la insulina por índice HOMA,465
Perfiles,RETSSS,RETSS,RETICULOCITOS,125
Perfiles,COVID19,COVID19,SARS-CoV2 IgG/IgM,495
Perfiles,11111,testdeOSullivan,Tamiz de O´Sullivan,338
Perfiles,tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,1065
Perfiles,11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,3020
Perfiles,1481,TFGSUE,TASA DE FILTRADO GLOMERULAR EN SUERO,338
Perfiles,31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,435
Perfiles,564,TP,TIEMPO DE PROTROMBINA,158
Perfiles,VIHPV4CG,VIHPV4CG,VHI Cuarta generación,395
Perfiles,11102022,CHINKUN,VIRUS CHINKUNGUYA,875
Perfiles,11102022,ZIKA,VIRUS ZIKA,2365
Perfiles,2531,VITB12FOLATOS,VITAMINA B12 Y FOLATOS,1008
Perfiles,4618,VITAD3,VITAMINA D3,1180
Perfiles,4424-OTH,VPH HR14 GENOTIPOS,VPH HR14 GENOTIPOS DE ALTO RIESGO,2855
Perfiles,293,WESTERNBLOT,WESTERN BLOT,3248
Pruebas,Desaturac,Desaturac,% DE SATURACION,0
Pruebas,3493,DESOXI,11- Desoxicortisol,0
Pruebas,417,17aOHP4NEO,17 ALFA HIDROXI-PROGESTERONA NEONATAL (17aOHP4NEO),0
Pruebas,1,17OHP,17 Alfa hidroxiprogesterona,475
Pruebas,4372,17hidroxip,17 hidroxipregenenolona,0
Pruebas,1788,hidroi,17 HIDROXIPROGESTERONA NEONATAL,0
Pruebas,185,ACANTI,AC. ANTI AMEBA IgG (SERAMEBA),0
Pruebas,839,ANTICARDIOIgG,AC. ANTI CARDIOLIPINA IgG,520
Pruebas,840,ANTICARDIOIgM,AC. ANTI CARDIOLIPINA IgM,420
Pruebas,636,Chikungun,Ac. Anti Chikungunya IgG,815
Pruebas,CHIKU,CHIKU,Ac. Anti Chikungunya IgM,840
Pruebas,217,ChlamIgG,Ac. Anti Chlamydia trachomatis IgG,0
Pruebas,297,DNA,AC. ANTI DNA*,750
Pruebas,2323,AcAntiEndomesiales,Ac. Anti Endomesiales,740
Pruebas,PERF,FOSFIgG,AC. ANTI FOSFOLÍPIDOS IgG,0
Pruebas,PERF-2339,FOSFIgM,AC. ANTI FOSFOLÍPIDOS IgM,0
Pruebas,2162,AcAntiGliIgAIgG,Ac. Anti Gliadinas IgA IgG,1008
Pruebas,350,HPYLORIIgG,AC. ANTI HELICOBACTER PYLORI IgG,555
Pruebas,383,IIHERPESIgG,AC. ANTI HERPES II IgG,955
Pruebas,258,HERPESIgM,AC. ANTI HERPES II IgM,0
Pruebas,1794,ANTIJO,AC. ANTI JO-1 (POLIMIOSITIS),618
Pruebas,436,ANTIMITOCON,AC. ANTI MITOCONDRIA,730
Pruebas,446,ANTIMUSCU,AC. ANTI MUSCULO LISO,630
