Id_parametro,Codigo,Abreviatura,Descripcion,Sexo,Unidad,Edad_min,Edad_max,Ref_min,Ref_max
2037,leuct,leuct,LEUCOCITOS TOTALES,Indistinto,2 (dias),31,60,5.0,19.5
2037,leuct,leuct,LEUCOCITOS TOTALES,Indistinto,2 (dias),61,180,6.0,17.5
2037,leuct,leuct,LEUCOCITOS TOTALES,Indistinto,2 (dias),8,17,5.0,21.0
2037,leuct,leuct,LEUCOCITOS TOTALES,Indistinto,2 (dias),0,7,9.0,30.0
2037,leuct,leuct,LEUCOCITOS TOTALES,,2 (dias),181,365,6.0,17.5
2037,leuct,leuct,LEUCOCITOS TOTALES,Indistinto,1 (años),1,2,6.0,17.5
2037,leuct,leuct,LEUCOCITOS TOTALES,Indistinto,1 (años),2,4,5.5,15.5
2037,leuct,leuct,LEUCOCITOS TOTALES,Indistinto,1 (años),4,6,5.0,14.5
2037,leuct,leuct,LEUCOCITOS TOTALES,Indistinto,1 (años),4,12,4.5,13.5
2037,leuct,leuct,LEUCOCITOS TOTALES,Indistinto,1 (años),12,18,4.5,13.0
2037,leuct,leuct,LEUCOCITOS TOTALES,Indistinto,1 (años),19,120,4.5,11.0
2037,leuct,leuct,LEUCOCITOS TOTALES,,2 (dias),18,30,5.0,20.0
2038,RBC,RBC,GLOBULOS ROJOS,Indistinto,2 (dias),1,6,4.5,6.5
2038,RBC,RBC,GLOBULOS ROJOS,Indistinto,2 (dias),7,14,4.7,7.3
2038,RBC,RBC,GLOBULOS ROJOS,Indistinto,2 (dias),15,30,4.3,7.0
2038,RBC,RBC,GLOBULOS ROJOS,Indistinto,2 (dias),31,60,3.7,6.0
2038,RBC,RBC,GLOBULOS ROJOS,Indistinto,2 (dias),61,180,3.3,4.7
2038,RBC,RBC,GLOBULOS ROJOS,Indistinto,2 (dias),181,365,3.3,4.7
2038,RBC,RBC,GLOBULOS ROJOS,Indistinto,1 (años),1,2,3.3,4.7
2038,RBC,RBC,GLOBULOS ROJOS,Indistinto,1 (años),2,6,3.8,4.8
2038,RBC,RBC,GLOBULOS ROJOS,Indistinto,1 (años),6,12,4.0,5.2
2038,RBC,RBC,GLOBULOS ROJOS,Masculino,1 (años),12,18,4.2,5.8
2038,RBC,RBC,GLOBULOS ROJOS,Femenino,1 (años),12,18,4.2,5.2
2038,RBC,RBC,GLOBULOS ROJOS,Masculino,1 (años),19,120,4.5,5.8
2038,RBC,RBC,GLOBULOS ROJOS,Femenino,1 (años),19,120,4.2,5.2
2039,HGB,HGB,HEMOGLOBINA,Indistinto,2 (dias),7,14,14.0,22.0
2039,HGB,HGB,HEMOGLOBINA,Indistinto,2 (dias),15,30,13.0,21.0
2039,HGB,HGB,HEMOGLOBINA,Indistinto,2 (dias),31,60,11.0,18.0
2039,HGB,HGB,HEMOGLOBINA,,2 (dias),61,180,10.5,14.5
2039,HGB,HGB,HEMOGLOBINA,Indistinto,2 (dias),181,365,11.4,14.0
2039,HGB,HGB,HEMOGLOBINA,Indistinto,1 (años),1,2,11.0,14.0
2039,HGB,HGB,HEMOGLOBINA,Indistinto,1 (años),2,4,11.5,14.5
2039,HGB,HGB,HEMOGLOBINA,Indistinto,1 (años),4,6,11.5,14.5
2039,HGB,HGB,HEMOGLOBINA,Indistinto,1 (años),6,8,12.0,15.5
2039,HGB,HGB,HEMOGLOBINA,Indistinto,1 (años),8,12,12.0,15.5
2039,HGB,HGB,HEMOGLOBINA,Masculino,1 (años),13,18,13.5,16.5
2039,HGB,HGB,HEMOGLOBINA,Femenino,1 (años),12,18,12.5,15.5
2039,HGB,HGB,HEMOGLOBINA,Masculino,1 (años),18,110,13.5,17.5
2039,HGB,HGB,HEMOGLOBINA,Femenino,1 (años),18,110,12.5,15.5
2039,HGB,HGB,HEMOGLOBINA,Indistinto,2 (dias),0,6,13.5,20.0
2040,HCT,HCT,HEMATOCRITO,Indistinto,2 (dias),0,6,40,60
2040,HCT,HCT,HEMATOCRITO,Indistinto,2 (dias),7,14,40,66
2040,HCT,HCT,HEMATOCRITO,Indistinto,2 (dias),15,30,40,66
2040,HCT,HCT,HEMATOCRITO,Indistinto,2 (dias),30,60,33,54
2040,HCT,HCT,HEMATOCRITO,Indistinto,2 (dias),61,180,33,42
2040,HCT,HCT,HEMATOCRITO,Indistinto,2 (dias),181,365,33,42
2040,HCT,HCT,HEMATOCRITO,Indistinto,1 (años),1,6,33,42
2040,HCT,HCT,HEMATOCRITO,Indistinto,1 (años),6,12,36,46
2040,HCT,HCT,HEMATOCRITO,Masculino,1 (años),12,18,40,50
2040,HCT,HCT,HEMATOCRITO,Femenino,1 (años),12,18,36,46
2040,HCT,HCT,HEMATOCRITO,Masculino,1 (años),19,120,42,52
2040,HCT,HCT,HEMATOCRITO,Femenino,1 (años),19,120,37,46
2041,VCM,VCM,Volumen globular medio,,2 (dias),8,14,88,125
2041,VCM,VCM,Volumen globular medio,Indistinto,2 (dias),15,30,85,125
2041,VCM,VCM,Volumen globular medio,,2 (dias),31,60,85,125
2041,VCM,VCM,Volumen globular medio,,2 (dias),61,180,83,105
2041,VCM,VCM,Volumen globular medio,,2 (dias),181,365,83,100
2041,VCM,VCM,Volumen globular medio,,1 (años),1,147,83,100
2041,VCM,VCM,Volumen globular medio,Indistinto,2 (dias),0,7,98,120
2042,HCM,HCM,HCM,Indistinto,2 (dias),1,7,31,37
2042,HCM,HCM,HCM,Indistinto,2 (dias),8,60,28,40
2042,HCM,HCM,HCM,Indistinto,2 (dias),61,180,26,34
2042,HCM,HCM,HCM,Indistinto,2 (dias),181,365,28,32
2042,HCM,HCM,HCM,Indistinto,1 (años),1,120,28,32
2043,MCHC,CMHC,CMHC,,1 (años),1,120,32,36
2043,MCHC,CMHC,CMHC,Indistinto,2 (dias),1,365,30,36
2043,MCHC,CMHC,CMHC,Indistinto,1 (años),60,365,32,36
2046,PLT,PLT,PLAQUETAS,,1 (años),4,120,140,450
2046,PLT,PLT,PLAQUETAS,,1 (años),0,3,150 ,400
2046,PLT,PLT,PLAQUETAS,Indistinto,2 (dias),0,1,100.00,350.00
2047,VPM,VPM,VOLUMEN PLAQUETARIO MEDIO,Indistinto,1 (años),0,120,7.0,14.0
2051,LYM,LIN,LINFOCITOS,Indistinto,1 (años),12,120,20,45
2051,LYM,LIN,LINFOCITOS,,1 (años),0,3,35,65
2051,LYM,LIN,LINFOCITOS,Indistinto,1 (años),6,11,21,45
2051,LYM,LIN,LINFOCITOS,Indistinto,1 (años),2,5,23,70
2051,LYM,LIN,LINFOCITOS,Indistinto,2 (dias),0,1,27,53
2053,MON%,MON,MONOCITOS,Indistinto,2 (dias),0,1,0,7
2053,MON%,MON,MONOCITOS,,1 (años),2,5,1,11
2053,MON%,MON,MONOCITOS,,1 (años),6,11,0,10
2053,MON%,MON,MONOCITOS,Indistinto,1 (años),0,3,0,5
2053,MON%,MON,MONOCITOS,,1 (años),12,120,0,10
2058,NEU,NEU,NEUTROFILOS,Indistinto,1 (años),1,120,45,70
2058,NEU,NEU,NEUTROFILOS,Indistinto,1 (años),6,10,26,70
2058,NEU,NEU,NEUTROFILOS,Indistinto,1 (años),0,3,25,57
2058,NEU,NEU,NEUTROFILOS,Indistinto,2 (dias),0,1,41,58
2059,EO%,EO,EOSINOFILOS,Indistinto,2 (dias),0,1,0,7
2059,EO%,EO,EOSINOFILOS,,1 (años),0,5,0,3
2059,EO%,EO,EOSINOFILOS,Masculino,1 (años),1,120,0,5
2059,EO%,EO,EOSINOFILOS,,1 (años),6,12,0,5
2059,EO%,EO,EOSINOFILOS,Indistinto,1 (años),12,120,0,5
2061,BAS%,BAS,BASOFILOS,Indistinto,1 (años),0,120,0,1
2069,RDW,RDW,RDW,Indistinto,1 (años),1,123,11,14
2069,RDW,RDW,RDW,Indistinto,2 (dias),0,365,11,14
2071,MON#,MONABS,MONOCITOS,,1 (años),1,120,0.1,1
2071,MON#,MONABS,MONOCITOS,Indistinto,1 (años),0,3,"0,3",0.6
2072,NEU,NEUABS,NEUTROFILOS,Indistinto,2 (dias),0,6,6.0,26.0
2072,NEU,NEUABS,NEUTROFILOS,Indistinto,2 (dias),7,14,1.5,10.0
2072,NEU,NEUABS,NEUTROFILOS,Indistinto,2 (dias),15,30,1.0,9.5
2072,NEU,NEUABS,NEUTROFILOS,Indistinto,2 (dias),31,60,1.0,8.5
2072,NEU,NEUABS,NEUTROFILOS,Indistinto,2 (dias),61,365,1.0,8.5
2072,NEU,NEUABS,NEUTROFILOS,Indistinto,1 (años),1,2,1.0,8.5
2072,NEU,NEUABS,NEUTROFILOS,Indistinto,1 (años),2,4,2.0,8.0
2072,NEU,NEUABS,NEUTROFILOS,Indistinto,1 (años),4,6,1.5,7.0
2072,NEU,NEUABS,NEUTROFILOS,Indistinto,1 (años),6,8,1.7,7.0
2072,NEU,NEUABS,NEUTROFILOS,Indistinto,1 (años),8,332,1.8,7.0
2073,EO#,EOABS,EOSINOFILOS,Indistinto,1 (años),3,120,0.0,0.5
2073,EO#,EOABS,EOSINOFILOS,,1 (años),0,3,0,0.3
2074,BAS#,BASABS,BASOFILOS,Indistinto,1 (años),0,120,0.0,0.2
2079,GLU,GLU,GLUCOSA,Indistinto,1 (años),1,120,70,110
2079,GLU,GLU,GLUCOSA,Indistinto,2 (dias),0,365,70,110
2080,24,alb,ALBUMINA,Indistinto,1 (años),0,120,3.5,5.3
2081,ami,ami,AMILASA,Indistinto,1 (años),1,120,25.00,125.00
2083,BAAR 2,BAAR2,BAAR 2,,1 (años),1,120
2085,BD,BD,BILIRRUBINA DIRECTA,Indistinto,2 (dias),1,30,0.00,0.60
2085,BD,BD,BILIRRUBINA DIRECTA,Indistinto,2 (dias),30,365,0.0,0.5
2085,BD,BD,BILIRRUBINA DIRECTA,Indistinto,1 (años),1,120,0.00,0.5
2086,BT,BT,BILIRRUBINA TOTAL,Indistinto,2 (dias),6,30,0.20,2.50
2086,BT,BT,BILIRRUBINA TOTAL,Indistinto,2 (dias),1,1,0.20,6.0
2086,BT,BT,BILIRRUBINA TOTAL,Indistinto,2 (dias),2,3,0.20,7.50
2086,BT,BT,BILIRRUBINA TOTAL,Indistinto,2 (dias),4,5,0.20,12.00
2086,BT,BT,BILIRRUBINA TOTAL,Indistinto,1 (años),1,120,0.20,1.30
2086,BT,BT,BILIRRUBINA TOTAL,Indistinto,2 (dias),365,120,0.20,1.30
2087,BI,BI,BILIRRUBINA INDIRECTA,Indistinto,2 (dias),31,365,0.00,1.10
2087,BI,BI,BILIRRUBINA INDIRECTA,Indistinto,1 (años),1,118,0.00,1.10
2087,BI,BI,BILIRRUBINA INDIRECTA,Indistinto,2 (dias),1,30,0.60,10.50
2088,CA S,CAS,CALCIO,Indistinto,2 (dias),0,365,7.8,11.2
2088,CA S,CAS,CALCIO,Indistinto,1 (años),1,120,8.0,10.5
2089,25,cl,CLORO SÉRICO,,1 (años),1,120,94.0,115.0
2089,25,cl,CLORO SÉRICO,Indistinto,2 (dias),0,365,94.0,115
2091,48,CPK,Creatinfosfoquinasa (CPK),Femenino,1 (años),1,120,0,130
2091,48,CPK,Creatinfosfoquinasa (CPK),Masculino,1 (años),1,120,0,160
2092,CPK-MB,CPKMB,CPK-MB,Indistinto,1 (años),1,120,0.00,22.00
2093,50,CRE,Creatinina sérica,Indistinto,1 (años),1,120,0.5,1.5
